x,y
0,0.0724033
0.000697297,0.0720102
0.00139459,0.0715937
0.00209189,0.0712204
0.00278919,0.0708837
0.00348648,0.0705033
0.00418378,0.0700018
0.00488108,0.0695179
0.00557837,0.0691143
0.00627567,0.06867
0.00697297,0.068271
0.00767026,0.0678995
0.00836756,0.0675434
0.00906486,0.0672168
0.00976215,0.0669048
0.0104595,0.0665629
0.0111567,0.066216
0.011854,0.0658634
0.0125513,0.0655833
0.0132486,0.0652528
0.0139459,0.0649341
0.0146432,0.0646198
0.0153405,0.0641627
0.0160378,0.0638248
0.0167351,0.0635426
0.0174324,0.0633048
0.0181297,0.0629752
0.018827,0.0626116
0.0195243,0.06226
0.0202216,0.0619208
0.0209189,0.0615836
0.0216162,0.0612742
0.0223135,0.0610079
0.0230108,0.0606301
0.0237081,0.06033
0.0244054,0.0599878
0.0251027,0.0597339
0.0258,0.0594743
0.0264973,0.059104
0.0271946,0.058865
0.0278919,0.0584955
0.0285892,0.0581066
0.0292865,0.0578755
0.0299838,0.0576472
0.0306811,0.0574051
0.0313784,0.057189
0.0320757,0.0569356
0.0327729,0.0566708
0.0334702,0.0563796
0.0341675,0.0561359
0.0348648,0.055908
0.0355621,0.0556471
0.0362594,0.0554415
0.0369567,0.0552152
0.037654,0.0550345
0.0383513,0.0548227
0.0390486,0.0545621
0.0397459,0.0543806
0.0404432,0.05413
0.0411405,0.0538477
0.0418378,0.0536172
0.0425351,0.0534294
0.0432324,0.0531286
0.0439297,0.0530018
0.044627,0.0527951
0.0453243,0.052569
0.0460216,0.0524275
0.0467189,0.0522246
0.0474162,0.051951
0.0481135,0.0516722
0.0488108,0.0515034
0.0495081,0.0512599
0.0502054,0.0511169
0.0509027,0.0509041
0.0516,0.0507232
0.0522973,0.0505164
0.0529946,0.0503338
0.0536919,0.0501405
0.0543891,0.0498872
0.0550864,0.0496666
0.0557837,0.0494992
0.056481,0.0492746
0.0571783,0.0490329
0.0578756,0.0488762
0.0585729,0.0487037
0.0592702,0.0485504
0.0599675,0.0483986
0.0606648,0.0482753
0.0613621,0.0481352
0.0620594,0.0479846
0.0627567,0.0478161
0.063454,0.0476631
0.0641513,0.0475081
0.0648486,0.0473511
0.0655459,0.0471851
0.0662432,0.0470446
0.0669405,0.0468669
0.0676378,0.0466791
0.0683351,0.0464504
0.0690324,0.046291
0.0697297,0.0461845
0.070427,0.0460423
0.0711243,0.0459257
0.0718216,0.0458115
0.0725189,0.0456193
0.0732162,0.0454954
0.0739135,0.0453818
0.0746107,0.0452111
0.075308,0.0451192
0.0760053,0.044997
0.0767026,0.0448972
0.0773999,0.044781
0.0780972,0.0446782
0.0787945,0.0445284
0.0794918,0.0443983
0.0801891,0.0442353
0.0808864,0.0441374
0.0815837,0.0440076
0.082281,0.0439056
0.0829783,0.0437612
0.0836756,0.0436118
0.0843729,0.0434805
0.0850702,0.0433565
0.0857675,0.0432828
0.0864648,0.0431984
0.0871621,0.0430813
0.0878594,0.0429929
0.0885567,0.0429345
0.089254,0.0428252
0.0899513,0.0426998
0.0906486,0.0426381
0.0913459,0.0425422
0.0920432,0.0423907
0.0927405,0.0422457
0.0934378,0.0421733
0.0941351,0.0420852
0.0948324,0.041992
0.0955297,0.0419126
0.096227,0.0418646
0.0969243,0.0417868
0.0976215,0.0417112
0.0983188,0.0416432
0.0990161,0.0415986
0.0997134,0.0415226
0.100411,0.0414669
0.101108,0.0413989
0.101805,0.041349
0.102503,0.0412722
0.1032,0.0412198
0.103897,0.0411284
0.104595,0.0410504
0.105292,0.0409914
0.105989,0.040933
0.106686,0.0408674
0.107384,0.0408114
0.108081,0.0407717
0.108778,0.0407208
0.109476,0.040648
0.110173,0.0405607
0.11087,0.0404981
0.111567,0.0404385
0.112265,0.0403656
0.112962,0.0402889
0.113659,0.0402239
0.114357,0.0401253
0.115054,0.0400715
0.115751,0.0400436
0.116449,0.0399925
0.117146,0.0399476
0.117843,0.0399169
0.11854,0.0398576
0.119238,0.0398156
0.119935,0.0397766
0.120632,0.0397261
0.12133,0.0396698
0.122027,0.0396253
0.122724,0.0395853
0.123422,0.0395556
0.124119,0.0395135
0.124816,0.0394713
0.125513,0.0394247
0.126211,0.0393877
0.126908,0.0393468
0.127605,0.0393145
0.128303,0.03926
0.129,0.0392009
0.129697,0.0391574
0.130394,0.0391095
0.131092,0.0390921
0.131789,0.0390587
0.132486,0.0390167
0.133184,0.0389863
0.133881,0.038966
0.134578,0.0389252
0.135276,0.0389039
0.135973,0.0388737
0.13667,0.0388467
0.137367,0.0388116
0.138065,0.0387688
0.138762,0.0387505
0.139459,0.0387256
0.140157,0.0386979
0.140854,0.0386636
0.141551,0.0386444
0.142249,0.0386113
0.142946,0.0385989
0.143643,0.0385624
0.14434,0.0385236
0.145038,0.0384982
0.145735,0.0384542
0.146432,0.0384312
0.14713,0.0384141
0.147827,0.0383755
0.148524,0.038347
0.149221,0.0383341
0.149919,0.0382957
0.150616,0.0382628
0.151313,0.0382244
0.152011,0.0381962
0.152708,0.0381672
0.153405,0.0381502
0.154103,0.0381226
0.1548,0.0381035
0.155497,0.0380758
0.156194,0.0380454
0.156892,0.0380225
0.157589,0.0380098
0.158286,0.0379941
0.158984,0.0379615
0.159681,0.0379413
0.160378,0.0379234
0.161076,0.0379004
0.161773,0.0378763
0.16247,0.0378634
0.163167,0.03784
0.163865,0.0377929
0.164562,0.0377751
0.165259,0.0377522
0.165957,0.0377248
0.166654,0.0376987
0.167351,0.0376782
0.168049,0.0376673
0.168746,0.0376575
0.169443,0.0376451
0.17014,0.0376313
0.170838,0.0376117
0.171535,0.0375939
0.172232,0.0375773
0.17293,0.037561
0.173627,0.0375403
0.174324,0.0375302
0.175021,0.0375163
0.175719,0.0374986
0.176416,0.0374823
0.177113,0.0374652
0.177811,0.0374526
0.178508,0.0374393
0.179205,0.0374258
0.179903,0.0374053
0.1806,0.0373947
0.181297,0.0373757
0.181994,0.0373657
0.182692,0.0373574
0.183389,0.0373337
0.184086,0.0373231
0.184784,0.0373026
0.185481,0.0372808
0.186178,0.0372649
0.186876,0.0372518
0.187573,0.0372404
0.18827,0.0372336
0.188967,0.0372229
0.189665,0.0372105
0.190362,0.0371859
0.191059,0.0371759
0.191757,0.0371537
0.192454,0.0371431
0.193151,0.0371309
0.193849,0.037118
0.194546,0.0371023
0.195243,0.0370839
0.19594,0.0370666
0.196638,0.0370478
0.197335,0.0370377
0.198032,0.0370179
0.19873,0.0370034
0.199427,0.0369949
0.200124,0.0369787
0.200821,0.0369719
0.201519,0.0369634
0.202216,0.0369546
0.202913,0.0369431
0.203611,0.0369339
0.204308,0.0369111
0.205005,0.0368967
0.205703,0.0368835
0.2064,0.0368713
0.207097,0.0368583
0.207794,0.0368498
0.208492,0.0368399
0.209189,0.0368298
0.209886,0.0368163
0.210584,0.0367994
0.211281,0.0367911
0.211978,0.036783
0.212676,0.0367668
0.213373,0.0367542
0.21407,0.0367441
0.214767,0.0367369
0.215465,0.0367278
0.216162,0.0367167
0.216859,0.0366972
0.217557,0.0366759
0.218254,0.0366616
0.218951,0.0366559
0.219648,0.0366382
0.220346,0.0366171
0.221043,0.0366012
0.22174,0.036595
0.222438,0.0365879
0.223135,0.0365807
0.223832,0.0365722
0.22453,0.0365458
0.225227,0.03652
0.225924,0.0365081
0.226621,0.0364953
0.227319,0.0364809
0.228016,0.0364717
0.228713,0.036458
0.229411,0.0364414
0.230108,0.0364328
0.230805,0.0364236
0.231503,0.0364072
0.2322,0.0363922
0.232897,0.0363803
0.233594,0.0363607
0.234292,0.0363465
0.234989,0.0363214
0.235686,0.036314
0.236384,0.0363006
0.237081,0.0362919
0.237778,0.0362741
0.238475,0.0362634
0.239173,0.036247
0.23987,0.0362347
0.240567,0.036225
0.241265,0.0362141
0.241962,0.0361999
0.242659,0.0361851
0.243357,0.0361713
