x,y
0,0.0110381
0.00244007,0.0110381
0.00488013,0.0110381
0.0073202,0.0110381
0.00976026,0.0110381
0.0122003,0.0110381
0.0146404,0.0110381
0.0170805,0.0110381
0.0195205,0.0110381
0.0219606,0.0110381
0.0244007,0.011038
0.0268407,0.011038
0.0292808,0.011038
0.0317209,0.011038
0.0341609,0.011038
0.036601,0.011038
0.0390411,0.011038
0.0414811,0.011038
0.0439212,0.011038
0.0463613,0.011038
0.0488013,0.011038
0.0512414,0.0110379
0.0536814,0.0110377
0.0561215,0.0110375
0.0585616,0.0110372
0.0610016,0.0110365
0.0634417,0.0110359
0.0658818,0.0110327
0.0683218,0.0110309
0.0707619,0.0110271
0.073202,0.0110246
0.075642,0.0110222
0.0780821,0.0110203
0.0805222,0.0110179
0.0829622,0.0110166
0.0854023,0.0110144
0.0878424,0.0110125
0.0902824,0.0110103
0.0927225,0.0110078
0.0951626,0.0109983
0.0976026,0.0109961
0.100043,0.0109899
0.102483,0.0109879
0.104923,0.0109847
0.107363,0.0109813
0.109803,0.0109765
0.112243,0.0109708
0.114683,0.0109683
0.117123,0.0109664
0.119563,0.0109634
0.122003,0.0109608
0.124443,0.0109512
0.126883,0.0109479
0.129323,0.0109438
0.131764,0.0109426
0.134204,0.0109329
0.136644,0.0109251
0.139084,0.0109233
0.141524,0.010918
0.143964,0.0109162
0.146404,0.0109116
0.148844,0.0109052
0.151284,0.0108988
0.153724,0.0108938
0.156164,0.0108901
0.158604,0.0108872
0.161044,0.0108831
0.163484,0.0108815
0.165924,0.0108752
0.168365,0.0108701
0.170805,0.0108658
0.173245,0.0108626
0.175685,0.0108577
0.178125,0.01085
0.180565,0.0108472
0.183005,0.0108427
0.185445,0.0108413
0.187885,0.0108378
0.190325,0.0108333
0.192765,0.0108318
0.195205,0.0108302
0.197645,0.0108293
0.200085,0.0108251
0.202525,0.010821
0.204966,0.0108177
0.207406,0.0108153
0.209846,0.0108121
0.212286,0.0108053
0.214726,0.0108002
0.217166,0.0107975
0.219606,0.010795
0.222046,0.0107941
0.224486,0.0107919
0.226926,0.0107894
0.229366,0.0107884
0.231806,0.0107878
0.234246,0.0107828
0.236686,0.0107765
0.239126,0.0107711
0.241567,0.0107695
0.244007,0.0107665
0.246447,0.0107656
0.248887,0.0107616
0.251327,0.01076
0.253767,0.0107581
0.256207,0.0107575
0.258647,0.010756
0.261087,0.0107556
0.263527,0.0107548
0.265967,0.0107542
0.268407,0.0107534
0.270847,0.0107528
0.273287,0.0107523
0.275727,0.0107517
0.278168,0.0107509
0.280608,0.0107475
0.283048,0.0107472
0.285488,0.0107465
0.287928,0.0107437
0.290368,0.0107421
0.292808,0.0107411
0.295248,0.0107402
0.297688,0.0107393
0.300128,0.0107387
0.302568,0.0107382
0.305008,0.0107366
0.307448,0.0107333
0.309888,0.0107321
0.312328,0.0107314
0.314769,0.010731
0.317209,0.0107287
0.319649,0.0107283
0.322089,0.0107274
0.324529,0.0107269
0.326969,0.0107264
0.329409,0.0107261
0.331849,0.0107255
0.334289,0.0107244
0.336729,0.0107238
0.339169,0.0107236
0.341609,0.0107231
0.344049,0.0107224
0.346489,0.0107208
0.348929,0.01072
0.35137,0.0107196
0.35381,0.0107187
0.35625,0.010718
0.35869,0.0107176
0.36113,0.0107155
0.36357,0.0107145
0.36601,0.01071
0.36845,0.0107096
0.37089,0.0107093
0.37333,0.0107088
0.37577,0.0107083
0.37821,0.0107079
0.38065,0.0107072
0.38309,0.0107036
0.38553,0.0107031
0.38797,0.0107024
0.390411,0.0106995
0.392851,0.0106986
0.395291,0.0106974
0.397731,0.0106966
0.400171,0.0106964
0.402611,0.0106958
0.405051,0.0106947
0.407491,0.0106941
0.409931,0.0106935
0.412371,0.0106928
0.414811,0.0106918
0.417251,0.0106914
0.419691,0.0106907
0.422131,0.0106901
0.424571,0.010689
0.427012,0.0106878
0.429452,0.0106873
0.431892,0.0106869
0.434332,0.010686
0.436772,0.0106856
0.439212,0.0106851
0.441652,0.0106846
0.444092,0.0106842
0.446532,0.0106823
0.448972,0.0106815
0.451412,0.0106805
0.453852,0.0106801
0.456292,0.0106798
0.458732,0.0106794
0.461172,0.0106789
0.463613,0.0106786
0.466053,0.0106777
0.468493,0.0106769
0.470933,0.0106766
0.473373,0.0106738
0.475813,0.0106735
0.478253,0.010673
0.480693,0.0106724
0.483133,0.0106718
0.485573,0.0106714
0.488013,0.010671
0.490453,0.0106703
0.492893,0.01067
0.495333,0.0106692
0.497773,0.0106685
0.500213,0.0106675
0.502654,0.0106668
0.505094,0.0106665
0.507534,0.0106662
0.509974,0.0106655
0.512414,0.0106647
0.514854,0.0106641
0.517294,0.010664
0.519734,0.0106638
0.522174,0.0106636
0.524614,0.010659
0.527054,0.0106585
0.529494,0.0106582
0.531934,0.0106578
0.534374,0.0106572
0.536814,0.0106564
0.539255,0.010656
0.541695,0.0106554
0.544135,0.0106547
0.546575,0.0106544
0.549015,0.0106541
0.551455,0.0106539
0.553895,0.0106532
0.556335,0.0106528
0.558775,0.0106506
0.561215,0.0106504
0.563655,0.01065
0.566095,0.0106497
0.568535,0.0106494
0.570975,0.0106491
0.573415,0.0106488
0.575856,0.0106484
0.578296,0.0106479
0.580736,0.0106474
0.583176,0.0106471
0.585616,0.0106467
0.588056,0.0106446
0.590496,0.0106442
0.592936,0.010644
0.595376,0.0106437
0.597816,0.0106427
0.600256,0.0106422
0.602696,0.0106416
0.605136,0.0106414
0.607576,0.0106408
0.610016,0.0106404
0.612457,0.0106398
0.614897,0.0106394
0.617337,0.010639
0.619777,0.0106387
0.622217,0.0106383
0.624657,0.0106379
0.627097,0.0106372
0.629537,0.010636
0.631977,0.0106356
0.634417,0.0106353
0.636857,0.0106349
0.639297,0.0106346
0.641737,0.0106342
0.644177,0.0106339
0.646617,0.0106335
0.649058,0.0106332
0.651498,0.0106327
0.653938,0.0106322
0.656378,0.010632
0.658818,0.0106316
0.661258,0.0106313
0.663698,0.0106311
0.666138,0.0106307
0.668578,0.01063
0.671018,0.0106296
0.673458,0.0106292
0.675898,0.0106286
0.678338,0.0106283
0.680778,0.0106281
0.683218,0.0106276
0.685658,0.0106273
0.688099,0.010627
0.690539,0.0106266
0.692979,0.0106263
0.695419,0.010626
0.697859,0.0106255
0.700299,0.0106251
0.702739,0.0106247
0.705179,0.0106243
0.707619,0.0106239
0.710059,0.0106236
0.712499,0.0106233
0.714939,0.010623
0.717379,0.0106228
0.719819,0.0106226
0.72226,0.0106223
0.7247,0.0106219
0.72714,0.0106217
0.72958,0.0106215
0.73202,0.0106211
0.73446,0.0106207
0.7369,0.0106205
0.73934,0.0106188
0.74178,0.0106185
0.74422,0.0106182
0.74666,0.010618
0.7491,0.0106178
0.75154,0.0106176
0.75398,0.010617
0.75642,0.0106166
0.758861,0.010616
0.761301,0.0106158
0.763741,0.0106155
0.766181,0.0106149
0.768621,0.0106144
0.771061,0.0106127
0.773501,0.0106117
0.775941,0.010611
0.778381,0.0106106
0.780821,0.0106104
0.783261,0.0106102
0.785701,0.0106097
0.788141,0.010606
0.790581,0.0106057
0.793021,0.0106055
0.795462,0.0106049
0.797902,0.0106046
0.800342,0.0106028
0.802782,0.0106026
0.805222,0.0106023
0.807662,0.0106022
0.810102,0.0106017
0.812542,0.0106013
0.814982,0.0106008
0.817422,0.0106003
0.819862,0.0106
0.822302,0.0105995
0.824742,0.0105992
0.827182,0.0105988
0.829622,0.0105952
0.832063,0.0105948
0.834503,0.0105939
0.836943,0.0105936
0.839383,0.0105931
0.841823,0.0105928
0.844263,0.0105925
0.846703,0.0105923
0.849143,0.0105919
0.851583,0.0105915
0.854023,0.0105912
0.856463,0.0105909
0.858903,0.0105907
0.861343,0.0105905
0.863783,0.01059
0.866223,0.0105898
0.868663,0.0105895
0.871104,0.0105864
0.873544,0.0105862
0.875984,0.0105859
0.878424,0.0105852
0.880864,0.010585
0.883304,0.0105847
0.885744,0.0105844
0.888184,0.0105839
0.890624,0.0105837
0.893064,0.0105832
0.895504,0.0105825
0.897944,0.010582
0.900384,0.0105818
0.902824,0.0105814
0.905264,0.0105812
0.907705,0.0105809
0.910145,0.0105807
0.912585,0.01058
0.915025,0.0105796
0.917465,0.0105792
0.919905,0.0105787
0.922345,0.0105784
0.924785,0.0105782
0.927225,0.0105779
0.929665,0.0105776
0.932105,0.0105773
0.934545,0.0105768
0.936985,0.0105765
0.939425,0.0105738
0.941865,0.0105735
0.944306,0.0105731
0.946746,0.0105729
0.949186,0.0105724
0.951626,0.0105719
0.954066,0.0105717
0.956506,0.0105715
0.958946,0.0105712
0.961386,0.0105705
0.963826,0.0105701
0.966266,0.0105697
0.968706,0.0105693
0.971146,0.0105691
0.973586,0.0105686
0.976026,0.0105684
0.978466,0.0105677
0.980907,0.0105674
0.983347,0.0105671
