x,y
0,0.0373708
0.00126305,0.0373413
0.0025261,0.0370565
0.00378916,0.0366385
0.00505221,0.036313
0.00631526,0.0361348
0.00757831,0.036007
0.00884137,0.0359375
0.0101044,0.0358876
0.0113675,0.0358482
0.0126305,0.0358055
0.0138936,0.0357683
0.0151566,0.0357355
0.0164197,0.0356999
0.0176827,0.0356755
0.0189458,0.0356442
0.0202088,0.0356261
0.0214719,0.0356038
0.0227349,0.0355828
0.023998,0.0355611
0.025261,0.0355409
0.0265241,0.0355174
0.0277871,0.0354961
0.0290502,0.035477
0.0303132,0.035458
0.0315763,0.0354313
0.0328394,0.035415
0.0341024,0.0353964
0.0353655,0.035381
0.0366285,0.0353578
0.0378916,0.0353424
0.0391546,0.0353228
0.0404177,0.0353027
0.0416807,0.0352827
0.0429438,0.0352664
0.0442068,0.0352506
0.0454699,0.0352355
0.0467329,0.0352116
0.047996,0.0351976
0.049259,0.035185
0.0505221,0.0351661
0.0517851,0.0351509
0.0530482,0.0351377
0.0543112,0.0351271
0.0555743,0.0351167
0.0568373,0.0351059
0.0581004,0.0350916
0.0593634,0.0350717
0.0606265,0.0350569
0.0618896,0.0350414
0.0631526,0.0350231
0.0644157,0.0350072
0.0656787,0.0349931
0.0669418,0.0349822
0.0682048,0.0349596
0.0694679,0.0349423
0.0707309,0.0349281
0.071994,0.0349153
0.073257,0.0348998
0.0745201,0.0348894
0.0757831,0.0348718
0.0770462,0.0348584
0.0783092,0.0348432
0.0795723,0.0348261
0.0808353,0.0348157
0.0820984,0.0347973
0.0833614,0.0347869
0.0846245,0.0347715
0.0858875,0.0347609
0.0871506,0.0347469
0.0884136,0.0347359
0.0896767,0.0347289
0.0909397,0.0347212
0.0922028,0.0347046
0.0934659,0.0346908
0.0947289,0.0346809
0.095992,0.0346631
0.097255,0.0346444
0.0985181,0.034631
0.0997811,0.0346164
0.101044,0.0346036
0.102307,0.0345914
0.10357,0.0345809
0.104833,0.0345713
0.106096,0.0345582
0.107359,0.0345469
0.108622,0.0345364
0.109886,0.0345268
0.111149,0.0345121
0.112412,0.0345008
0.113675,0.0344906
0.114938,0.0344788
0.116201,0.0344683
0.117464,0.0344567
0.118727,0.0344447
0.11999,0.0344367
0.121253,0.0344261
0.122516,0.0343977
0.123779,0.0343829
0.125042,0.0343757
0.126305,0.0343662
0.127568,0.0343571
0.128831,0.034349
0.130094,0.0343384
0.131357,0.0343292
0.13262,0.0343226
0.133884,0.0343172
0.135147,0.034309
0.13641,0.0342997
0.137673,0.0342939
0.138936,0.0342857
0.140199,0.0342782
0.141462,0.0342682
0.142725,0.0342615
0.143988,0.0342518
0.145251,0.0342459
0.146514,0.0342382
0.147777,0.0342282
0.14904,0.0342226
0.150303,0.0342147
0.151566,0.0342067
0.152829,0.0341973
0.154092,0.0341873
0.155355,0.0341811
0.156618,0.0341749
0.157882,0.0341679
0.159145,0.0341632
0.160408,0.0341568
0.161671,0.0341488
0.162934,0.0341437
0.164197,0.0341357
0.16546,0.0341292
0.166723,0.0341196
0.167986,0.0341095
0.169249,0.0341003
0.170512,0.0340911
0.171775,0.0340809
0.173038,0.0340738
0.174301,0.0340671
0.175564,0.0340526
0.176827,0.0340432
0.17809,0.034033
0.179353,0.034026
0.180616,0.0340117
0.181879,0.0339984
0.183143,0.0339894
0.184406,0.0339838
0.185669,0.033971
0.186932,0.0339643
0.188195,0.0339598
0.189458,0.0339513
0.190721,0.0339445
0.191984,0.0339402
0.193247,0.0339349
0.19451,0.0339293
0.195773,0.0339194
0.197036,0.03391
0.198299,0.0339028
0.199562,0.0338945
0.200825,0.0338848
0.202088,0.0338769
0.203351,0.0338699
0.204614,0.0338607
0.205877,0.0338526
0.207141,0.0338452
0.208404,0.0338392
0.209667,0.0338349
0.21093,0.0338296
0.212193,0.0338228
0.213456,0.033817
0.214719,0.0338113
0.215982,0.0337975
0.217245,0.0337917
0.218508,0.0337862
0.219771,0.0337795
0.221034,0.0337734
0.222297,0.0337692
0.22356,0.0337629
0.224823,0.0337567
0.226086,0.0337512
0.227349,0.0337468
0.228612,0.0337419
0.229875,0.0337368
0.231139,0.0337297
0.232402,0.0337251
0.233665,0.0337196
0.234928,0.0337118
0.236191,0.0336967
0.237454,0.033692
0.238717,0.0336853
0.23998,0.0336818
0.241243,0.0336701
0.242506,0.0336653
0.243769,0.0336616
0.245032,0.0336549
0.246295,0.0336478
0.247558,0.0336435
0.248821,0.0336383
0.250084,0.0336312
0.251347,0.0336266
0.25261,0.0336199
0.253873,0.0336145
0.255137,0.0336072
