x,y
0,0.0110474
0.00127156,0.0110482
0.00254311,0.0110491
0.00381467,0.0110499
0.00508623,0.0110507
0.00635779,0.0110515
0.00762934,0.0110523
0.0089009,0.0110532
0.0101725,0.011054
0.011444,0.0110549
0.0127156,0.0110557
0.0139871,0.0110565
0.0152587,0.0110573
0.0165302,0.0110581
0.0178018,0.0110589
0.0190734,0.0110598
0.0203449,0.0110606
0.0216165,0.0110615
0.022888,0.0110623
0.0241596,0.0110631
0.0254312,0.0110641
0.0267027,0.011065
0.0279743,0.0110652
0.0292458,0.0110663
0.0305174,0.0110672
0.0317889,0.011068
0.0330605,0.0110689
0.0343321,0.0110699
0.0356036,0.0110708
0.0368752,0.0110717
0.0381467,0.0110727
0.0394183,0.0110736
0.0406898,0.0110746
0.0419614,0.0110756
0.043233,0.0110765
0.0445045,0.0110774
0.0457761,0.0110784
0.0470476,0.0110792
0.0483192,0.0110801
0.0495907,0.011081
0.0508623,0.0110819
0.0521339,0.0110829
0.0534054,0.0110838
0.054677,0.0110848
0.0559485,0.0110857
0.0572201,0.0110865
0.0584916,0.0110875
0.0597632,0.0110883
0.0610348,0.0110892
0.0623063,0.0110901
0.0635779,0.011091
0.0648494,0.011092
0.066121,0.0110928
0.0673925,0.0110937
0.0686641,0.0110943
0.0699357,0.011095
0.0712072,0.0110958
0.0724788,0.0110966
0.0737503,0.0110973
0.0750219,0.011098
0.0762935,0.0110988
0.077565,0.0110995
0.0788366,0.0111003
0.0801081,0.0111011
0.0813797,0.0111019
0.0826512,0.0111027
0.0839228,0.0111034
0.0851944,0.0111041
0.0864659,0.0111049
0.0877375,0.0111057
0.089009,0.0111064
0.0902806,0.0111072
0.0915521,0.011108
0.0928237,0.0111088
0.0940953,0.0111095
0.0953668,0.0111103
0.0966384,0.0111111
0.0979099,0.0111118
0.0991815,0.0111127
0.100453,0.0111134
0.101725,0.0111141
0.102996,0.0111149
0.104268,0.0111157
0.105539,0.0111164
0.106811,0.0111171
0.108082,0.0111178
0.109354,0.0111186
0.110626,0.0111193
0.111897,0.0111201
0.113169,0.0111209
0.11444,0.0111217
0.115712,0.0111224
0.116983,0.0111231
0.118255,0.0111239
0.119526,0.0111246
0.120798,0.0111253
0.12207,0.0111256
0.123341,0.0111263
0.124613,0.0111271
0.125884,0.0111278
0.127156,0.0111285
0.128427,0.0111292
0.129699,0.0111299
0.13097,0.0111306
0.132242,0.0111313
0.133514,0.0111319
0.134785,0.0111327
0.136057,0.0111333
0.137328,0.0111341
0.1386,0.0111346
0.139871,0.0111353
0.141143,0.011136
0.142414,0.0111366
0.143686,0.0111373
0.144958,0.011138
0.146229,0.0111386
0.147501,0.0111393
0.148772,0.0111398
0.150044,0.0111404
0.151315,0.0111411
0.152587,0.0111418
0.153858,0.0111424
0.15513,0.0111431
0.156402,0.0111437
0.157673,0.0111443
0.158945,0.011145
0.160216,0.0111456
0.161488,0.0111462
0.162759,0.0111468
0.164031,0.0111474
0.165302,0.0111482
0.166574,0.0111488
0.167846,0.0111495
0.169117,0.0111502
0.170389,0.0111509
0.17166,0.0111515
0.172932,0.0111521
0.174203,0.0111517
0.175475,0.0111522
0.176746,0.0111527
0.178018,0.0111533
0.17929,0.0111539
0.180561,0.0111546
0.181833,0.0111552
0.183104,0.0111558
0.184376,0.0111564
0.185647,0.011157
0.186919,0.0111576
0.188191,0.0111582
0.189462,0.0111588
0.190734,0.0111594
0.192005,0.01116
0.193277,0.0111607
0.194548,0.0111612
0.19582,0.0111618
0.197091,0.0111624
0.198363,0.011163
0.199635,0.0111636
0.200906,0.0111643
0.202178,0.011165
0.203449,0.0111656
0.204721,0.0111565
0.205992,0.0111571
0.207264,0.0111577
0.208535,0.0111582
0.209807,0.0111588
0.211079,0.0111594
0.21235,0.0111599
0.213622,0.0111606
0.214893,0.0111612
0.216165,0.0111617
0.217436,0.0111622
0.218708,0.0111628
0.219979,0.0111634
0.221251,0.011164
0.222523,0.0111647
0.223794,0.0111653
0.225066,0.0111658
0.226337,0.0111665
0.227609,0.0111671
0.22888,0.0111677
0.230152,0.0111684
0.231423,0.0111689
0.232695,0.0111697
0.233967,0.0111702
0.235238,0.0111708
0.23651,0.0111715
0.237781,0.011172
0.239053,0.0111676
0.240324,0.0111682
0.241596,0.0111688
0.242867,0.0111694
0.244139,0.01117
0.245411,0.0111707
0.246682,0.0111713
0.247954,0.0111718
0.249225,0.0111599
0.250497,0.0111604
0.251768,0.011161
0.25304,0.0111615
0.254311,0.0111621
0.255583,0.0111626
0.256855,0.0111631
0.258126,0.0111637
0.259398,0.0111642
0.260669,0.0111647
