x,y
0,0.0110474
0.00132293,0.0110474
0.00264586,0.0110474
0.00396879,0.0110474
0.00529172,0.0110474
0.00661465,0.0110474
0.00793758,0.0110474
0.00926052,0.0110474
0.0105834,0.0110474
0.0119064,0.0110473
0.0132293,0.0110472
0.0145522,0.0110472
0.0158752,0.011047
0.0171981,0.0110469
0.018521,0.0110468
0.019844,0.0110466
0.0211669,0.0110465
0.0224898,0.0110463
0.0238128,0.0110462
0.0251357,0.011046
0.0264586,0.0110458
0.0277815,0.0110456
0.0291045,0.0110445
0.0304274,0.0110442
0.0317503,0.0110439
0.0330733,0.0110434
0.0343962,0.0110429
0.0357191,0.0110407
0.0370421,0.01104
0.038365,0.0110386
0.0396879,0.0110375
0.0410109,0.0110368
0.0423338,0.0110361
0.0436567,0.0110352
0.0449796,0.0110347
0.0463026,0.0110337
0.0476255,0.0110331
0.0489484,0.0110323
0.0502714,0.0110315
0.0515943,0.0110306
0.0529172,0.0110297
0.0542402,0.0110287
0.0555631,0.0110277
0.056886,0.0110269
0.058209,0.0110259
0.0595319,0.0110244
0.0608548,0.0110235
0.0621777,0.0110228
0.0635007,0.0110221
0.0648236,0.0110211
0.0661465,0.0110204
0.0674695,0.0110151
0.0687924,0.0110137
0.0701153,0.0110126
0.0714383,0.0110119
0.0727612,0.0110063
0.0740841,0.0110047
0.0754071,0.0110035
0.07673,0.0110014
0.0780529,0.0110005
0.0793758,0.0109989
0.0806988,0.0109973
0.0820217,0.0109939
0.0833446,0.0109926
0.0846676,0.0109915
0.0859905,0.0109899
0.0873134,0.0109851
0.0886364,0.0109841
0.0899593,0.0109823
0.0912822,0.0109809
0.0926052,0.0109796
0.0939281,0.0109787
0.095251,0.0109769
0.0965739,0.0109716
0.0978969,0.0109691
0.0992198,0.0109673
0.100543,0.0109664
0.101866,0.010965
0.103189,0.010961
0.104512,0.0109593
0.105834,0.0109584
0.107157,0.0109578
0.10848,0.0109564
0.109803,0.0109544
0.111126,0.0109531
0.112449,0.0109516
0.113772,0.0109474
0.115095,0.0109454
0.116418,0.0109429
0.117741,0.0109408
0.119064,0.0109373
0.120387,0.0109364
0.12171,0.0109346
0.123033,0.010931
0.124355,0.0109297
0.125678,0.0109291
0.127001,0.0109265
0.128324,0.0109238
0.129647,0.0109212
0.13097,0.0109179
0.132293,0.0109151
0.133616,0.0109134
0.134939,0.0109116
0.136262,0.0109105
0.137585,0.0109091
0.138908,0.0109079
0.140231,0.0109069
0.141554,0.0109055
0.142877,0.0109039
0.144199,0.0109033
0.145522,0.0109021
0.146845,0.0109015
0.148168,0.0109009
0.149491,0.0109003
0.150814,0.0108995
0.152137,0.010898
0.15346,0.0108975
0.154783,0.0108962
0.156106,0.0108943
0.157429,0.0108922
0.158752,0.0108916
0.160075,0.0108895
0.161398,0.0108879
0.16272,0.0108868
0.164043,0.0108864
0.165366,0.0108854
0.166689,0.0108833
0.168012,0.0108826
0.169335,0.0108811
0.170658,0.0108807
0.171981,0.0108792
0.173304,0.010879
0.174627,0.0108784
0.17595,0.0108778
0.177273,0.0108766
0.178596,0.0108762
0.179919,0.0108754
0.181242,0.0108724
0.182564,0.0108721
0.183887,0.0108719
0.18521,0.0108715
0.186533,0.01087
0.187856,0.0108682
0.189179,0.010867
0.190502,0.0108663
0.191825,0.0108644
0.193148,0.0108636
0.194471,0.0108631
0.195794,0.0108617
0.197117,0.0108591
0.19844,0.0108569
0.199763,0.0108559
0.201085,0.0108555
0.202408,0.0108548
0.203731,0.0108539
0.205054,0.0108535
0.206377,0.0108529
0.2077,0.0108523
0.209023,0.0108511
0.210346,0.0108505
0.211669,0.0108467
0.212992,0.0108461
0.214315,0.0108446
0.215638,0.0108435
0.216961,0.0108431
0.218284,0.0108421
0.219607,0.0108402
0.220929,0.0108394
0.222252,0.0108374
0.223575,0.010836
0.224898,0.0108351
0.226221,0.0108346
0.227544,0.0108336
0.228867,0.0108333
0.23019,0.0108307
0.231513,0.0108295
0.232836,0.0108282
0.234159,0.0108276
0.235482,0.0108253
0.236805,0.010825
0.238128,0.0108246
0.23945,0.0108235
0.240773,0.0108227
0.242096,0.0108211
0.243419,0.0108201
0.244742,0.0108191
0.246065,0.0108188
0.247388,0.0108177
0.248711,0.0108151
0.250034,0.0108147
0.251357,0.0108144
0.25268,0.0108134
0.254003,0.0108121
0.255326,0.0108114
0.256649,0.0108111
0.257971,0.0108109
0.259294,0.0108077
0.260617,0.010807
0.26194,0.0108059
0.263263,0.0108055
0.264586,0.0108044
0.265909,0.0108036
0.267232,0.010803
0.268555,0.0108024
0.269878,0.0108011
0.271201,0.0108002
0.272524,0.0107997
0.273847,0.0107995
0.27517,0.010799
0.276493,0.0107987
0.277815,0.010797
0.279138,0.0107955
0.280461,0.0107948
0.281784,0.0107946
0.283107,0.0107944
0.28443,0.0107913
0.285753,0.0107908
0.287076,0.0107906
0.288399,0.0107898
0.289722,0.0107891
0.291045,0.0107881
0.292368,0.0107877
0.293691,0.0107872
0.295014,0.0107869
0.296337,0.0107866
0.297659,0.0107863
0.298982,0.010783
0.300305,0.0107823
0.301628,0.0107818
0.302951,0.0107798
0.304274,0.0107796
0.305597,0.0107794
0.30692,0.0107792
0.308243,0.0107776
0.309566,0.0107772
0.310889,0.010777
0.312212,0.0107765
0.313535,0.0107757
0.314858,0.0107752
0.31618,0.010775
0.317503,0.0107744
0.318826,0.010773
0.320149,0.0107725
0.321472,0.0107723
0.322795,0.0107719
0.324118,0.0107708
0.325441,0.0107693
0.326764,0.0107685
0.328087,0.010768
0.32941,0.0107669
0.330733,0.0107648
0.332056,0.0107634
0.333379,0.010763
0.334701,0.0107623
0.336024,0.0107622
0.337347,0.0107597
0.33867,0.0107591
0.339993,0.0107583
0.341316,0.0107573
0.342639,0.0107571
0.343962,0.0107568
0.345285,0.0107559
0.346608,0.0107556
0.347931,0.0107549
0.349254,0.0107547
0.350577,0.0107541
0.3519,0.0107537
0.353223,0.0107528
0.354545,0.0107511
0.355868,0.0107509
0.357191,0.0107506
0.358514,0.0107504
0.359837,0.0107502
0.36116,0.0107501
0.362483,0.0107488
0.363806,0.0107477
0.365129,0.010747
0.366452,0.0107467
0.367775,0.0107465
0.369098,0.0107463
0.370421,0.0107458
0.371744,0.0107454
0.373066,0.010745
0.374389,0.0107446
0.375712,0.0107444
0.377035,0.0107441
0.378358,0.0107436
0.379681,0.0107431
0.381004,0.0107429
0.382327,0.0107425
0.38365,0.0107415
0.384973,0.0107409
0.386296,0.0107408
0.387619,0.0107405
0.388942,0.0107403
0.390265,0.0107402
0.391587,0.0107399
0.39291,0.0107389
0.394233,0.0107387
0.395556,0.0107382
0.396879,0.010738
0.398202,0.0107376
0.399525,0.0107374
0.400848,0.0107368
0.402171,0.0107365
0.403494,0.0107363
0.404817,0.0107362
0.40614,0.0107359
0.407463,0.0107355
0.408786,0.0107347
0.410109,0.0107335
0.411431,0.0107325
0.412754,0.0107322
0.414077,0.010732
