x,y
0,0.011038
0.00475684,0.011038
0.00951369,0.011038
0.0142705,0.011038
0.0190274,0.011038
0.0237842,0.011038
0.0285411,0.011038
0.0332979,0.0110378
0.0380547,0.0110376
0.0428116,0.0110373
0.0475684,0.011037
0.0523253,0.0110341
0.0570821,0.011032
0.061839,0.0110258
0.0665958,0.0110183
0.0713526,0.0110102
0.0761095,0.0110069
0.0808663,0.0109995
0.0856232,0.0109924
0.09038,0.0109818
0.0951369,0.010974
0.0998937,0.0109662
0.104651,0.0109575
0.109407,0.0109525
0.114164,0.0109445
0.118921,0.0109339
0.123678,0.010923
0.128435,0.010914
0.133192,0.0109092
0.137948,0.0109046
0.142705,0.0108966
0.147462,0.0108905
0.152219,0.0108851
0.156976,0.0108812
0.161733,0.0108772
0.166489,0.0108726
0.171246,0.0108691
0.176003,0.0108646
0.18076,0.0108617
0.185517,0.0108529
0.190274,0.010852
0.195031,0.0108456
0.199787,0.0108425
0.204544,0.0108388
0.209301,0.0108373
0.214058,0.0108362
0.218815,0.0108338
0.223572,0.0108316
0.228328,0.0108305
0.233085,0.0108274
0.237842,0.0108251
0.242599,0.0108191
0.247356,0.0108129
0.252113,0.0108107
0.25687,0.0108082
0.261626,0.0108061
0.266383,0.0108051
0.27114,0.0108016
0.275897,0.0107998
0.280654,0.010798
0.285411,0.0107971
0.290167,0.0107958
0.294924,0.0107944
0.299681,0.0107927
0.304438,0.0107916
0.309195,0.0107901
0.313952,0.0107887
0.318708,0.0107876
0.323465,0.0107865
0.328222,0.0107813
0.332979,0.0107775
0.337736,0.0107767
0.342493,0.0107754
0.34725,0.0107729
0.352006,0.0107721
0.356763,0.0107712
0.36152,0.0107684
0.366277,0.0107677
0.371034,0.0107652
0.375791,0.0107643
0.380547,0.0107634
0.385304,0.0107587
0.390061,0.0107548
0.394818,0.0107529
0.399575,0.0107521
0.404332,0.0107499
0.409088,0.0107491
0.413845,0.0107435
0.418602,0.0107425
0.423359,0.0107401
0.428116,0.0107383
0.432873,0.0107364
0.43763,0.0107356
0.442386,0.0107342
0.447143,0.0107322
0.4519,0.0107316
0.456657,0.0107293
0.461414,0.0107285
0.466171,0.0107276
0.470927,0.010727
0.475684,0.0107258
0.480441,0.0107243
0.485198,0.0107231
0.489955,0.0107223
0.494712,0.0107208
0.499468,0.0107194
0.504225,0.0107183
0.508982,0.0107173
0.513739,0.0107164
0.518496,0.0107155
0.523253,0.0107119
0.52801,0.0107108
0.532766,0.0107092
0.537523,0.0107055
0.54228,0.0107047
0.547037,0.0107025
0.551794,0.0107009
0.556551,0.0106996
0.561307,0.0106987
0.566064,0.0106973
0.570821,0.0106951
0.575578,0.0106913
0.580335,0.01069
0.585092,0.0106888
0.589848,0.0106869
0.594605,0.0106858
0.599362,0.0106845
0.604119,0.010682
0.608876,0.0106814
0.613633,0.0106803
0.61839,0.0106777
0.623146,0.0106766
0.627903,0.0106747
0.63266,0.010672
0.637417,0.0106707
0.642174,0.0106699
0.646931,0.010669
0.651687,0.0106683
0.656444,0.0106671
0.661201,0.0106654
0.665958,0.0106644
0.670715,0.0106631
0.675472,0.0106624
0.680229,0.0106615
0.684985,0.0106591
0.689742,0.0106583
0.694499,0.0106567
0.699256,0.0106559
0.704013,0.010655
0.70877,0.0106541
0.713526,0.0106533
0.718283,0.0106525
0.72304,0.0106515
0.727797,0.0106507
0.732554,0.0106498
0.737311,0.0106489
0.742067,0.0106479
0.746824,0.0106472
0.751581,0.0106466
0.756338,0.0106458
0.761095,0.0106449
0.765852,0.0106428
0.770609,0.0106372
0.775365,0.0106356
0.780122,0.0106348
0.784879,0.0106341
0.789636,0.0106328
0.794393,0.0106312
0.79915,0.0106291
0.803906,0.0106267
0.808663,0.0106252
0.81342,0.0106242
0.818177,0.0106229
0.822934,0.0106221
0.827691,0.0106213
0.832448,0.0106204
0.837204,0.0106193
