x,y
0,0.0217186
0.00486529,0.0216775
0.00973058,0.0216222
0.0145959,0.0215285
0.0194612,0.0214855
0.0243264,0.0214277
0.0291917,0.0213769
0.034057,0.0213316
0.0389223,0.0212752
0.0437876,0.0212313
0.0486529,0.0211827
0.0535182,0.0211275
0.0583835,0.0210781
0.0632488,0.0210301
0.0681141,0.0209807
0.0729793,0.0209307
0.0778446,0.0208838
0.0827099,0.0208412
0.0875752,0.02078
0.0924405,0.0207288
0.0973058,0.0206757
0.102171,0.0206327
0.107036,0.0205834
0.111902,0.0205362
0.116767,0.0204948
0.121632,0.0204571
0.126498,0.020403
0.131363,0.0203453
0.136228,0.0202917
0.141093,0.0202501
0.145959,0.0202005
0.150824,0.020154
0.155689,0.0201051
0.160555,0.020046
0.16542,0.0199993
0.170285,0.0199592
0.17515,0.0199077
0.180016,0.0198503
0.184881,0.019811
0.189746,0.0197438
0.194612,0.0196963
0.199477,0.019644
0.204342,0.019604
0.209207,0.019562
0.214073,0.0195141
0.218938,0.0194679
0.223803,0.0194239
0.228669,0.0193725
0.233534,0.019311
0.238399,0.0192567
0.243264,0.0192196
0.24813,0.0191659
0.252995,0.0191112
0.25786,0.0190719
0.262726,0.0190212
0.267591,0.0189823
0.272456,0.018943
0.277321,0.0189082
0.282187,0.018876
0.287052,0.0188234
0.291917,0.0187722
0.296783,0.0187215
0.301648,0.0186814
0.306513,0.0186185
0.311379,0.018587
0.316244,0.0185456
0.321109,0.0184885
0.325974,0.0184434
0.33084,0.0184144
0.335705,0.0183799
0.34057,0.0183354
0.345436,0.0182867
0.350301,0.018252
0.355166,0.0182138
0.360031,0.018178
0.364897,0.0181377
0.369762,0.0180892
0.374627,0.0180325
0.379493,0.0179837
0.384358,0.0179536
0.389223,0.0179229
0.394088,0.017882
0.398954,0.0178427
0.403819,0.0178064
0.408684,0.0177519
0.41355,0.0177193
0.418415,0.0176914
0.42328,0.0176527
0.428145,0.0176236
0.433011,0.0175821
0.437876,0.0175403
0.442741,0.0174986
0.447607,0.0174614
0.452472,0.0174217
0.457337,0.0173807
0.462202,0.0173404
0.467068,0.0173033
0.471933,0.017264
0.476798,0.0172185
0.481664,0.0171871
0.486529,0.0171604
0.491394,0.0171135
0.49626,0.0170757
0.501125,0.0170465
0.50599,0.0170064
0.510855,0.0169697
0.515721,0.0169383
0.520586,0.0169063
0.525451,0.0168724
0.530317,0.0168348
0.535182,0.0168018
0.540047,0.016767
0.544912,0.0167347
0.549778,0.0167013
0.554643,0.0166718
0.559508,0.0166423
0.564374,0.0166147
0.569239,0.0165803
0.574104,0.0165457
0.578969,0.0165088
0.583835,0.0164799
0.5887,0.0164482
0.593565,0.0164249
0.598431,0.0163896
0.603296,0.0163565
0.608161,0.0163179
0.613027,0.0162901
0.617892,0.0162397
0.622757,0.0161881
0.627622,0.0161613
0.632488,0.0161286
0.637353,0.0160961
0.642218,0.0160719
0.647083,0.0160514
0.651949,0.016028
0.656814,0.0160022
0.661679,0.0159701
0.666545,0.0159467
0.67141,0.0159229
0.676275,0.0158805
0.681141,0.0158553
0.686006,0.0158269
0.690871,0.0158037
0.695736,0.0157785
0.700602,0.0157517
0.705467,0.0157243
0.710332,0.0157016
0.715198,0.01567
0.720063,0.0156358
0.724928,0.0155997
0.729793,0.0155699
0.734659,0.0155366
0.739524,0.0155205
0.744389,0.0154927
0.749255,0.0154647
0.75412,0.015428
0.758985,0.0153853
0.76385,0.0153549
0.768716,0.0153357
0.773581,0.0153094
0.778446,0.0152846
0.783312,0.0152586
0.788177,0.0152279
0.793042,0.015209
0.797907,0.0151783
0.802773,0.0151542
0.807638,0.015129
0.812503,0.0151033
0.817369,0.01508
0.822234,0.0150623
0.827099,0.0150376
0.831964,0.0150007
0.83683,0.0149697
0.841695,0.0149563
0.84656,0.0149303
0.851426,0.014906
0.856291,0.0148798
0.861156,0.0148645
0.866022,0.0148321
0.870887,0.0148063
0.875752,0.0147779
0.880617,0.0147575
0.885483,0.0147254
0.890348,0.0146845
0.895213,0.0146666
0.900079,0.0146509
0.904944,0.0146315
0.909809,0.0146047
0.914674,0.0145758
0.91954,0.0145514
0.924405,0.0145369
0.92927,0.014515
0.934136,0.0144908
0.939001,0.0144647
0.943866,0.0144298
0.948731,0.014408
0.953597,0.0143793
0.958462,0.0143616
0.963327,0.0143304
0.968193,0.0142933
0.973058,0.0142835
0.977923,0.0142662
0.982788,0.0142495
0.987654,0.0142272
0.992519,0.0142027
0.997384,0.0141893
1.00225,0.0141651
1.00711,0.0141466
1.01198,0.0141241
1.01685,0.0141115
1.02171,0.014086
1.02658,0.0140742
1.03144,0.0140592
1.03631,0.0140302
1.04117,0.0140084
1.04604,0.0139883
1.0509,0.0139685
1.05577,0.0139602
1.06063,0.0139468
1.0655,0.0139357
1.07036,0.013918
1.07523,0.0139007
1.08009,0.0138826
1.08496,0.0138691
1.08982,0.0138527
1.09469,0.0138318
1.09956,0.0138142
1.10442,0.0138011
1.10929,0.0137879
1.11415,0.0137647
1.11902,0.013747
1.12388,0.0137245
1.12875,0.0137028
1.13361,0.0136854
1.13848,0.0136742
1.14334,0.0136593
1.14821,0.0136375
1.15307,0.0136105
1.15794,0.0135942
1.1628,0.0135778
1.16767,0.0135644
1.17253,0.0135408
1.1774,0.0135161
1.18227,0.0135036
1.18713,0.0134836
1.192,0.0134543
1.19686,0.0134444
1.20173,0.0134309
1.20659,0.013412
1.21146,0.0133953
1.21632,0.0133777
1.22119,0.0133621
1.22605,0.0133459
1.23092,0.0133327
1.23578,0.0133097
1.24065,0.0132845
1.24551,0.0132694
1.25038,0.013258
1.25524,0.0132412
1.26011,0.0132266
1.26498,0.0132173
1.26984,0.013199
1.27471,0.0131829
1.27957,0.0131651
1.28444,0.0131544
1.2893,0.01314
1.29417,0.01312
1.29903,0.0130981
1.3039,0.0130851
1.30876,0.0130729
1.31363,0.01306
1.31849,0.0130438
1.32336,0.0130231
1.32822,0.0130046
1.33309,0.0129843
1.33795,0.0129713
1.34282,0.0129585
1.34769,0.0129489
1.35255,0.0129378
1.35742,0.0129242
1.36228,0.012914
1.36715,0.0129009
1.37201,0.0128909
1.37688,0.0128801
1.38174,0.0128687
1.38661,0.0128604
1.39147,0.0128473
1.39634,0.0128317
1.4012,0.0128193
1.40607,0.0128091
1.41093,0.0127972
1.4158,0.0127879
1.42066,0.012773
1.42553,0.0127548
1.4304,0.0127409
1.43526,0.012731
1.44013,0.0127212
1.44499,0.0127069
1.44986,0.0126962
1.45472,0.0126866
1.45959,0.0126732
1.46445,0.0126557
1.46932,0.0126498
1.47418,0.0126357
1.47905,0.0126244
1.48391,0.012612
1.48878,0.0125952
1.49364,0.0125868
1.49851,0.0125738
1.50337,0.012564
1.50824,0.0125566
1.5131,0.0125417
1.51797,0.0125304
1.52284,0.0125198
1.5277,0.0125071
1.53257,0.0124903
1.53743,0.0124783
1.5423,0.0124645
1.54716,0.0124524
1.55203,0.0124355
1.55689,0.0124214
1.56176,0.0124137
1.56662,0.0124015
1.57149,0.0123923
1.57635,0.0123784
1.58122,0.0123607
1.58608,0.0123547
1.59095,0.0123435
1.59581,0.0123269
1.60068,0.0123196
1.60555,0.0123118
1.61041,0.0122975
1.61528,0.0122874
1.62014,0.0122808
1.62501,0.0122714
1.62987,0.0122653
1.63474,0.0122592
1.6396,0.0122538
1.64447,0.0122414
1.64933,0.0122341
1.6542,0.0122242
1.65906,0.0122165
1.66393,0.0122072
1.66879,0.0121963
1.67366,0.012184
1.67852,0.0121746
1.68339,0.0121693
1.68826,0.0121579
1.69312,0.0121509
1.69799,0.0121418
1.70285,0.012134
1.70772,0.0121235
1.71258,0.0121155
1.71745,0.0121088
