x,y
0,0.0724033
0.0012893,0.0716285
0.0025786,0.0708419
0.0038679,0.0700957
0.0051572,0.0694464
0.0064465,0.0687435
0.0077358,0.0678577
0.0090251,0.0670175
0.0103144,0.0663243
0.0116037,0.065538
0.012893,0.0648445
0.0141823,0.0641664
0.0154716,0.0635606
0.0167609,0.0628742
0.0180502,0.0622922
0.0193395,0.0617455
0.0206288,0.0611373
0.0219181,0.0605217
0.0232074,0.0599509
0.0244967,0.0594347
0.025786,0.0588746
0.0270753,0.0584017
0.0283646,0.0577878
0.0296539,0.0573708
0.0309432,0.0569736
0.0322325,0.056572
0.0335218,0.0560896
0.0348111,0.0556228
0.0361004,0.0550186
0.0373897,0.0544986
0.038679,0.0539928
0.0399683,0.0535963
0.0412576,0.053175
0.0425469,0.0526762
0.0438362,0.0521377
0.0451255,0.0517012
0.0464148,0.0513951
0.0477041,0.0510667
0.0489934,0.050635
0.0502827,0.0502239
0.051572,0.0498031
0.0528613,0.0493758
0.0541506,0.0490432
0.0554399,0.0487526
0.0567292,0.0484323
0.0580185,0.04822
0.0593078,0.0479739
0.0605971,0.0476616
0.0618864,0.0473416
0.0631757,0.0470722
0.064465,0.0468039
0.0657543,0.0464939
0.0670436,0.04625
0.0683329,0.0460009
0.0696222,0.0457754
0.0709115,0.0455214
0.0722008,0.0453189
0.0734901,0.045082
0.0747794,0.0448621
0.0760687,0.0446096
0.077358,0.0443544
0.0786473,0.0441776
0.0799366,0.0439366
0.0812259,0.043745
0.0825152,0.0435835
0.0838045,0.0433238
0.0850938,0.0431701
0.0863831,0.0429659
0.0876724,0.0427289
0.0889617,0.0425277
0.090251,0.0424037
0.0915403,0.042251
0.0928296,0.0421283
0.0941189,0.0419721
0.0954082,0.0418239
0.0966975,0.0416809
0.0979868,0.0415378
0.0992761,0.0413423
0.100565,0.0412
0.101855,0.041038
0.103144,0.0409187
0.104433,0.0407793
0.105723,0.0406491
0.107012,0.0405315
0.108301,0.0403984
0.109591,0.0402575
0.11088,0.0401907
0.112169,0.0401105
0.113458,0.040023
0.114748,0.039898
0.116037,0.039816
0.117326,0.0397267
0.118616,0.0396528
0.119905,0.0395588
0.121194,0.0394772
0.122484,0.0393674
0.123773,0.039322
0.125062,0.0392246
0.126351,0.0391675
0.127641,0.0391124
0.12893,0.0390332
0.130219,0.0389671
0.131509,0.0389011
0.132798,0.0388435
0.134087,0.0387905
0.135377,0.0387252
0.136666,0.0386674
0.137955,0.0385896
0.139244,0.0385181
0.140534,0.0384474
0.141823,0.0383839
0.143112,0.0383301
0.144402,0.0382751
0.145691,0.0382134
0.14698,0.0381728
0.14827,0.0381236
0.149559,0.0380781
0.150848,0.0380336
0.152137,0.0379872
0.153427,0.0379518
0.154716,0.0379221
0.156005,0.0378632
0.157295,0.0378344
0.158584,0.0377999
0.159873,0.0377713
0.161163,0.0377185
0.162452,0.0376856
0.163741,0.0376531
0.16503,0.0376271
0.16632,0.0376057
0.167609,0.0375569
0.168898,0.0375244
0.170188,0.0374891
0.171477,0.0374556
0.172766,0.0374157
0.174056,0.0373866
0.175345,0.0373564
0.176634,0.0373317
0.177923,0.0372986
0.179213,0.0372696
0.180502,0.0372465
0.181791,0.0372045
0.183081,0.0371694
0.18437,0.0371372
0.185659,0.0370962
0.186949,0.0370636
0.188238,0.0370395
0.189527,0.0370158
0.190816,0.0369912
0.192106,0.0369514
0.193395,0.0369176
0.194684,0.0368958
0.195974,0.0368765
0.197263,0.0368516
0.198552,0.0368105
0.199842,0.0367874
0.201131,0.0367609
0.20242,0.0367201
0.203709,0.036684
0.204999,0.0366629
0.206288,0.0366461
0.207577,0.0366175
0.208867,0.036601
0.210156,0.0365828
0.211445,0.0365656
0.212735,0.0365444
0.214024,0.0365178
0.215313,0.0364818
0.216602,0.0364562
0.217892,0.0364335
0.219181,0.0364043
0.22047,0.036381
0.22176,0.036352
0.223049,0.0363228
0.224338,0.0363043
0.225628,0.036274
0.226917,0.036247
0.228206,0.0362134
0.229495,0.0361914
0.230785,0.0361549
0.232074,0.0361177
0.233363,0.036089
0.234653,0.0360555
0.235942,0.0360178
0.237231,0.0359941
0.238521,0.0359601
0.23981,0.0359427
0.241099,0.0359091
0.242388,0.0358846
0.243678,0.0358597
0.244967,0.0358156
0.246256,0.0357957
0.247546,0.0357691
0.248835,0.0357283
0.250124,0.0356882
0.251414,0.0356462
0.252703,0.0356199
0.253992,0.0355996
0.255281,0.0355714
0.256571,0.035542
0.25786,0.0355085
0.259149,0.0354872
0.260439,0.0354585
0.261728,0.0354331
0.263017,0.0354159
0.264307,0.0353933
0.265596,0.0353757
0.266885,0.0353581
0.268174,0.0353349
0.269464,0.0353133
0.270753,0.0353013
0.272042,0.0352798
0.273332,0.035253
0.274621,0.035231
0.27591,0.0352084
0.2772,0.0351725
0.278489,0.0351546
0.279778,0.0351382
0.281067,0.0351157
0.282357,0.035102
0.283646,0.035083
0.284935,0.0350513
0.286225,0.0350234
0.287514,0.0350126
0.288803,0.0350039
0.290093,0.0349732
0.291382,0.0349601
0.292671,0.0349497
0.29396,0.0349298
0.29525,0.0349101
0.296539,0.0348997
0.297828,0.0348755
0.299118,0.0348606
0.300407,0.0348459
