x,y
0,0.0217186
0.00963012,0.0216091
0.0192602,0.0214924
0.0288904,0.0213579
0.0385205,0.0212818
0.0481506,0.0211763
0.0577807,0.0210663
0.0674108,0.0209722
0.077041,0.0208692
0.0866711,0.0207868
0.0963012,0.0206898
0.105931,0.0205902
0.115561,0.0204792
0.125192,0.0203829
0.134822,0.0203085
0.144452,0.0201915
0.154082,0.0200957
0.163712,0.0199725
0.173342,0.0198682
0.182972,0.0197786
0.192602,0.019702
0.202233,0.0196138
0.211863,0.0195111
0.221493,0.0194136
0.231123,0.0193375
0.240753,0.0192523
0.250383,0.0191354
0.260013,0.0190275
0.269643,0.0189409
0.279274,0.0188681
0.288904,0.0187794
0.298534,0.0186919
0.308164,0.0185997
0.317794,0.018509
0.327424,0.0184273
0.337054,0.0183601
0.346684,0.0182696
0.356314,0.0181807
0.365945,0.0181103
0.375575,0.0180161
0.385205,0.0179405
0.394835,0.0178608
0.404465,0.0177711
0.414095,0.0176848
0.423725,0.0176094
0.433355,0.0175407
0.442986,0.0174579
0.452616,0.0173778
0.462246,0.0173007
0.471876,0.0171904
0.481506,0.0171427
0.491136,0.0170628
0.500766,0.0169749
0.510396,0.0169092
0.520027,0.0168484
0.529657,0.0167884
0.539287,0.016725
0.548917,0.0166604
0.558547,0.0165882
0.568177,0.0165228
0.577807,0.0164564
0.587437,0.0163908
0.597067,0.0163386
0.606698,0.0162894
0.616328,0.0162526
0.625958,0.0161911
0.635588,0.0161084
0.645218,0.0160587
0.654848,0.0160044
0.664478,0.0159401
0.674108,0.015873
0.683739,0.0158247
0.693369,0.0157673
0.702999,0.0157084
0.712629,0.0156454
0.722259,0.0155985
0.731889,0.0155433
0.741519,0.015487
0.751149,0.0154182
0.76078,0.0153606
0.77041,0.0153027
0.78004,0.0152591
0.78967,0.0152181
0.7993,0.0151645
0.80893,0.0151124
0.81856,0.0150515
0.82819,0.0149979
0.837821,0.0149586
0.847451,0.014907
0.857081,0.0148634
0.866711,0.0148207
0.876341,0.0147877
0.885971,0.0147337
0.895601,0.0146837
0.905231,0.014633
0.914861,0.0145919
0.924492,0.0145476
0.934122,0.0144843
0.943752,0.0144489
0.953382,0.0144081
0.963012,0.0143576
0.972642,0.0143098
0.982272,0.0142662
0.991903,0.0142266
1.00153,0.0141838
1.01116,0.0141394
1.02079,0.0141114
1.03042,0.0140591
1.04005,0.0140281
1.04968,0.0139778
1.05931,0.0139471
1.06894,0.0139176
1.07857,0.0138836
1.0882,0.0138502
1.09783,0.0138165
1.10746,0.0137868
1.11709,0.0137525
1.12672,0.013713
1.13635,0.013672
1.14598,0.0136335
1.15561,0.0135931
1.16524,0.0135625
1.17487,0.0135305
1.1845,0.0135024
1.19413,0.0134698
1.20377,0.0134395
1.2134,0.013387
1.22303,0.0133601
1.23266,0.013325
1.24229,0.0133028
1.25192,0.0132731
1.26155,0.0132457
1.27118,0.0132201
1.28081,0.0131947
1.29044,0.0131613
1.30007,0.0131421
1.3097,0.0131122
1.31933,0.0130717
1.32896,0.01305
1.33859,0.0130202
1.34822,0.0129984
1.35785,0.0129721
1.36748,0.0129442
1.37711,0.0129161
1.38674,0.0128903
1.39637,0.0128697
1.406,0.0128509
1.41563,0.0128324
1.42526,0.0128014
1.43489,0.0127776
1.44452,0.0127536
1.45415,0.0127297
1.46378,0.0127106
1.47341,0.0126861
1.48304,0.0126578
1.49267,0.0126445
1.5023,0.0126247
1.51193,0.0126014
1.52156,0.0125834
1.53119,0.0125568
1.54082,0.012539
1.55045,0.0125184
1.56008,0.012502
1.56971,0.0124899
1.57934,0.012472
1.58897,0.0124507
1.5986,0.0124329
1.60823,0.0124094
1.61786,0.0123974
1.62749,0.0123773
1.63712,0.0123625
1.64675,0.0123332
1.65638,0.0123182
1.66601,0.012305
1.67564,0.0122931
1.68527,0.0122656
1.6949,0.0122449
1.70453,0.0122367
1.71416,0.0122174
1.72379,0.0122039
1.73342,0.0121911
1.74305,0.0121717
1.75268,0.0121559
1.76231,0.0121411
1.77194,0.0121301
1.78157,0.0121104
1.7912,0.012095
1.80083,0.0120777
1.81046,0.0120507
1.82009,0.0120385
1.82972,0.0120243
1.83935,0.0120076
1.84898,0.011994
1.85861,0.0119784
1.86824,0.0119653
1.87787,0.0119505
1.8875,0.0119355
1.89713,0.011925
1.90676,0.011904
1.91639,0.0118915
1.92602,0.0118795
1.93565,0.0118653
1.94528,0.0118544
1.95491,0.0118371
1.96454,0.0118252
1.97417,0.0118134
1.98381,0.0118028
1.99344,0.0117949
2.00307,0.0117821
2.0127,0.0117737
2.02233,0.0117526
2.03196,0.0117451
2.04159,0.0117351
2.05122,0.011727
2.06085,0.0117169
2.07048,0.0117073
2.08011,0.0116981
2.08974,0.0116921
2.09937,0.0116838
2.109,0.0116747
2.11863,0.0116657
2.12826,0.0116593
2.13789,0.0116508
2.14752,0.0116437
2.15715,0.0116206
2.16678,0.0116148
2.17641,0.0116061
2.18604,0.011598
2.19567,0.0115897
2.2053,0.0115773
2.21493,0.01157
2.22456,0.0115606
2.23419,0.0115523
2.24382,0.0115425
2.25345,0.0115318
2.26308,0.0115198
2.27271,0.0115168
2.28234,0.0115109
2.29197,0.0115018
2.3016,0.0114984
2.31123,0.0114967
2.32086,0.0114905
2.33049,0.011482
2.34012,0.0114781
2.34975,0.0114726
2.35938,0.0114639
2.36901,0.0114593
2.37864,0.0114524
2.38827,0.0114484
2.3979,0.0114409
2.40753,0.0114268
2.41716,0.0114211
2.42679,0.0114158
2.43642,0.0114098
2.44605,0.0114045
2.45568,0.011397
2.46531,0.0113925
2.47494,0.0113852
2.48457,0.0113758
2.4942,0.0113673
2.50383,0.0113599
2.51346,0.0113567
2.52309,0.0113517
2.53272,0.0113467
2.54235,0.0113457
2.55198,0.0113414
2.56161,0.0113358
2.57124,0.0113321
2.58087,0.0113294
2.5905,0.0113266
2.60013,0.0113221
2.60976,0.0113169
2.61939,0.01131
2.62902,0.0113067
2.63865,0.0113037
2.64828,0.0112987
2.65791,0.0112946
2.66754,0.0112892
2.67717,0.0112863
2.6868,0.0112813
2.69643,0.0112753
2.70606,0.0112734
2.71569,0.0112679
2.72532,0.0112643
2.73495,0.0112579
2.74458,0.011255
2.75421,0.0112528
2.76384,0.0112465
2.77347,0.0112435
2.7831,0.0112416
2.79273,0.011238
2.80237,0.0112358
2.812,0.0112325
2.82163,0.0112301
2.83126,0.011228
2.84089,0.0112269
2.85052,0.0112244
2.86015,0.0112205
2.86978,0.0112136
2.87941,0.0112111
2.88904,0.0112087
2.89867,0.0112036
2.9083,0.0112008
2.91793,0.0111989
2.92756,0.0111969
2.93719,0.0111943
2.94682,0.0111884
2.95645,0.0111864
2.96608,0.0111836
2.97571,0.0111812
2.98534,0.0111776
2.99497,0.011175
3.0046,0.0111722
3.01423,0.0111707
3.02386,0.0111691
3.03349,0.0111673
3.04312,0.0111639
3.05275,0.0111624
3.06238,0.0111605
3.07201,0.011159
3.08164,0.011158
3.09127,0.0111574
3.1009,0.0111568
3.11053,0.0111551
3.12016,0.0111533
3.12979,0.0111507
3.13942,0.0111481
3.14905,0.0111466
3.15868,0.0111448
3.16831,0.0111435
3.17794,0.011142
3.18757,0.011141
3.1972,0.0111382
3.20683,0.0111373
3.21646,0.0111353
3.22609,0.0111326
3.23572,0.0111306
3.24535,0.0111293
3.25498,0.0111278
3.26461,0.0111264
