x,y
0,0.0373708
0.0268094,0.0373413
0.0536189,0.0370565
0.0804283,0.0366385
0.107238,0.036313
0.134047,0.0361348
0.160857,0.036007
0.187666,0.0359375
0.214476,0.0358876
0.241285,0.0358482
0.268094,0.0358055
0.294904,0.0357683
0.321713,0.0357355
0.348523,0.0356999
0.375332,0.0356755
0.402142,0.0356442
0.428951,0.0356261
0.455761,0.0356038
0.48257,0.0355828
0.509379,0.0355611
0.536189,0.0355409
0.562998,0.0355174
0.589808,0.0354961
0.616617,0.035477
0.643427,0.035458
0.670236,0.0354313
0.697046,0.035415
0.723855,0.0353964
0.750664,0.035381
0.777474,0.0353578
0.804283,0.0353424
0.831093,0.0353228
0.857902,0.0353027
0.884712,0.0352827
0.911521,0.0352664
0.938331,0.0352506
0.96514,0.0352355
0.99195,0.0352116
1.01876,0.0351976
1.04557,0.035185
1.07238,0.0351661
1.09919,0.0351509
1.126,0.0351377
1.15281,0.0351271
1.17962,0.0351167
1.20643,0.0351059
1.23323,0.0350916
1.26004,0.0350717
1.28685,0.0350569
1.31366,0.0350414
1.34047,0.0350231
1.36728,0.0350072
1.39409,0.0349931
1.4209,0.0349822
1.44771,0.0349596
1.47452,0.0349423
1.50133,0.0349281
1.52814,0.0349153
1.55495,0.0348998
1.58176,0.0348894
1.60857,0.0348718
1.63538,0.0348584
1.66219,0.0348432
1.689,0.0348261
1.7158,0.0348157
1.74261,0.0347973
1.76942,0.0347869
1.79623,0.0347715
1.82304,0.0347609
1.84985,0.0347469
1.87666,0.0347359
1.90347,0.0347289
1.93028,0.0347212
1.95709,0.0347046
1.9839,0.0346908
2.01071,0.0346809
2.03752,0.0346631
2.06433,0.0346444
2.09114,0.034631
2.11795,0.0346164
2.14476,0.0346036
2.17157,0.0345914
2.19837,0.0345809
2.22518,0.0345713
2.25199,0.0345582
2.2788,0.0345469
2.30561,0.0345364
2.33242,0.0345268
2.35923,0.0345121
2.38604,0.0345008
2.41285,0.0344906
2.43966,0.0344788
2.46647,0.0344683
2.49328,0.0344567
2.52009,0.0344447
2.5469,0.0344367
2.57371,0.0344261
2.60052,0.0343977
2.62733,0.0343829
2.65414,0.0343757
2.68094,0.0343662
2.70775,0.0343571
2.73456,0.034349
2.76137,0.0343384
2.78818,0.0343292
2.81499,0.0343226
2.8418,0.0343172
2.86861,0.034309
2.89542,0.0342997
2.92223,0.0342939
2.94904,0.0342857
2.97585,0.0342782
3.00266,0.0342682
3.02947,0.0342615
3.05628,0.0342518
3.08309,0.0342459
3.1099,0.0342382
3.13671,0.0342282
3.16351,0.0342226
3.19032,0.0342147
3.21713,0.0342067
3.24394,0.0341973
3.27075,0.0341873
3.29756,0.0341811
3.32437,0.0341749
3.35118,0.0341679
3.37799,0.0341632
3.4048,0.0341568
3.43161,0.0341488
3.45842,0.0341437
3.48523,0.0341357
3.51204,0.0341292
3.53885,0.0341196
3.56566,0.0341095
3.59247,0.0341003
3.61928,0.0340911
3.64608,0.0340809
3.67289,0.0340738
3.6997,0.0340671
3.72651,0.0340526
3.75332,0.0340432
3.78013,0.034033
3.80694,0.034026
3.83375,0.0340117
3.86056,0.0339984
3.88737,0.0339894
3.91418,0.0339838
3.94099,0.033971
3.9678,0.0339643
3.99461,0.0339598
4.02142,0.0339513
4.04823,0.0339445
4.07504,0.0339402
4.10185,0.0339349
4.12866,0.0339293
4.15546,0.0339194
4.18227,0.03391
4.20908,0.0339028
4.23589,0.0338945
4.2627,0.0338848
4.28951,0.0338769
4.31632,0.0338699
4.34313,0.0338607
4.36994,0.0338526
4.39675,0.0338452
4.42356,0.0338392
4.45037,0.0338349
4.47718,0.0338296
4.50399,0.0338228
4.5308,0.033817
4.55761,0.0338113
4.58442,0.0337975
4.61123,0.0337917
4.63803,0.0337862
4.66484,0.0337795
4.69165,0.0337734
4.71846,0.0337692
4.74527,0.0337629
4.77208,0.0337567
4.79889,0.0337512
4.8257,0.0337468
4.85251,0.0337419
4.87932,0.0337368
4.90613,0.0337297
4.93294,0.0337251
4.95975,0.0337196
4.98656,0.0337118
5.01337,0.0336967
5.04018,0.033692
5.06699,0.0336853
5.0938,0.0336818
5.1206,0.0336701
5.14741,0.0336653
5.17422,0.0336616
5.20103,0.0336549
5.22784,0.0336478
5.25465,0.0336435
5.28146,0.0336383
5.30827,0.0336312
5.33508,0.0336266
5.36189,0.0336199
5.3887,0.0336145
5.41551,0.0336072
5.44232,0.0336019
5.46913,0.0335954
5.49594,0.0335919
5.52275,0.0335879
5.54956,0.0335847
5.57637,0.0335785
5.60317,0.0335746
5.62998,0.0335711
5.65679,0.0335656
5.6836,0.0335599
5.71041,0.033554
5.73722,0.0335495
5.76403,0.033543
5.79084,0.0335392
5.81765,0.0335342
5.84446,0.0335311
5.87127,0.0335262
5.89808,0.0335214
5.92489,0.0335139
5.9517,0.0335107
5.97851,0.0335077
6.00532,0.0335028
6.03213,0.0334967
6.05893,0.033493
6.08574,0.0334881
6.11255,0.0334834
6.13936,0.03348
6.16617,0.0334775
6.19298,0.033475
6.21979,0.0334697
6.2466,0.0334641
6.27341,0.0334618
6.30022,0.0334561
6.32703,0.0334512
6.35384,0.0334481
6.38065,0.0334432
6.40746,0.033439
6.43427,0.0334337
