x,y
0,0.0373708
0.00252445,0.0373413
0.0050489,0.0370565
0.00757335,0.0366385
0.0100978,0.036313
0.0126222,0.0361348
0.0151467,0.036007
0.0176711,0.0359375
0.0201956,0.0358876
0.02272,0.0358482
0.0252445,0.0358055
0.0277689,0.0357683
0.0302934,0.0357355
0.0328178,0.0356999
0.0353423,0.0356755
0.0378667,0.0356442
0.0403912,0.0356261
0.0429156,0.0356038
0.0454401,0.0355828
0.0479645,0.0355611
0.050489,0.0355409
0.0530134,0.0355174
0.0555379,0.0354961
0.0580623,0.035477
0.0605868,0.035458
0.0631112,0.0354313
0.0656357,0.035415
0.0681601,0.0353964
0.0706846,0.035381
0.073209,0.0353578
0.0757335,0.0353424
0.0782579,0.0353228
0.0807824,0.0353027
0.0833068,0.0352827
0.0858313,0.0352664
0.0883557,0.0352506
0.0908802,0.0352355
0.0934046,0.0352116
0.0959291,0.0351976
0.0984535,0.035185
0.100978,0.0351661
0.103502,0.0351509
0.106027,0.0351377
0.108551,0.0351271
0.111076,0.0351167
0.1136,0.0351059
0.116125,0.0350916
0.118649,0.0350717
0.121174,0.0350569
0.123698,0.0350414
0.126222,0.0350231
0.128747,0.0350072
0.131271,0.0349931
0.133796,0.0349822
0.13632,0.0349596
0.138845,0.0349423
0.141369,0.0349281
0.143894,0.0349153
0.146418,0.0348998
0.148943,0.0348894
0.151467,0.0348718
0.153991,0.0348584
0.156516,0.0348432
0.15904,0.0348261
0.161565,0.0348157
0.164089,0.0347973
0.166614,0.0347869
0.169138,0.0347715
0.171663,0.0347609
0.174187,0.0347469
0.176711,0.0347359
0.179236,0.0347289
0.18176,0.0347212
0.184285,0.0347046
0.186809,0.0346908
0.189334,0.0346809
0.191858,0.0346631
0.194383,0.0346444
0.196907,0.034631
0.199432,0.0346164
0.201956,0.0346036
0.20448,0.0345914
0.207005,0.0345809
0.209529,0.0345713
0.212054,0.0345582
0.214578,0.0345469
0.217103,0.0345364
0.219627,0.0345268
0.222152,0.0345121
0.224676,0.0345008
0.2272,0.0344906
0.229725,0.0344788
0.232249,0.0344683
0.234774,0.0344567
0.237298,0.0344447
0.239823,0.0344367
0.242347,0.0344261
0.244872,0.0343977
0.247396,0.0343829
0.249921,0.0343757
0.252445,0.0343662
0.254969,0.0343571
0.257494,0.034349
0.260018,0.0343384
0.262543,0.0343292
0.265067,0.0343226
0.267592,0.0343172
0.270116,0.034309
0.272641,0.0342997
0.275165,0.0342939
0.277689,0.0342857
0.280214,0.0342782
0.282738,0.0342682
0.285263,0.0342615
0.287787,0.0342518
0.290312,0.0342459
0.292836,0.0342382
0.295361,0.0342282
0.297885,0.0342226
0.300409,0.0342147
0.302934,0.0342067
0.305458,0.0341973
0.307983,0.0341873
0.310507,0.0341811
0.313032,0.0341749
0.315556,0.0341679
0.318081,0.0341632
0.320605,0.0341568
0.32313,0.0341488
0.325654,0.0341437
0.328178,0.0341357
0.330703,0.0341292
0.333227,0.0341196
0.335752,0.0341095
0.338276,0.0341003
0.340801,0.0340911
0.343325,0.0340809
0.34585,0.0340738
0.348374,0.0340671
0.350898,0.0340526
0.353423,0.0340432
0.355947,0.034033
0.358472,0.034026
0.360996,0.0340117
0.363521,0.0339984
0.366045,0.0339894
0.36857,0.0339838
0.371094,0.033971
0.373619,0.0339643
0.376143,0.0339598
0.378667,0.0339513
0.381192,0.0339445
0.383716,0.0339402
0.386241,0.0339349
0.388765,0.0339293
0.39129,0.0339194
0.393814,0.03391
0.396339,0.0339028
0.398863,0.0338945
0.401387,0.0338848
0.403912,0.0338769
0.406436,0.0338699
0.408961,0.0338607
0.411485,0.0338526
0.41401,0.0338452
0.416534,0.0338392
0.419059,0.0338349
0.421583,0.0338296
0.424108,0.0338228
0.426632,0.033817
0.429156,0.0338113
0.431681,0.0337975
0.434205,0.0337917
0.43673,0.0337862
0.439254,0.0337795
0.441779,0.0337734
0.444303,0.0337692
0.446828,0.0337629
0.449352,0.0337567
0.451876,0.0337512
0.454401,0.0337468
0.456925,0.0337419
0.45945,0.0337368
0.461974,0.0337297
0.464499,0.0337251
0.467023,0.0337196
0.469548,0.0337118
0.472072,0.0336967
0.474596,0.033692
0.477121,0.0336853
0.479645,0.0336818
0.48217,0.0336701
0.484694,0.0336653
0.487219,0.0336616
0.489743,0.0336549
0.492268,0.0336478
0.494792,0.0336435
0.497317,0.0336383
0.499841,0.0336312
0.502365,0.0336266
0.50489,0.0336199
0.507414,0.0336145
