x,y
0,0.011038
0.00472355,0.011038
0.0094471,0.011038
0.0141706,0.011038
0.0188942,0.0110379
0.0236177,0.0110376
0.0283413,0.0110362
0.0330648,0.0110345
0.0377884,0.0110293
0.0425119,0.0110263
0.0472355,0.011023
0.051959,0.011013
0.0566826,0.0110076
0.0614061,0.0109979
0.0661297,0.0109921
0.0708532,0.0109869
0.0755768,0.0109749
0.0803003,0.0109703
0.0850239,0.0109624
0.0897474,0.0109535
0.094471,0.0109461
0.0991945,0.0109361
0.103918,0.0109334
0.108642,0.0109221
0.113365,0.0109207
0.118089,0.0109151
0.122812,0.010914
0.127536,0.0109127
0.132259,0.0109104
0.136983,0.0109068
0.141706,0.0108971
0.14643,0.0108953
0.151154,0.0108926
0.155877,0.0108898
0.160601,0.0108833
0.165324,0.0108755
0.170048,0.0108678
0.174771,0.0108653
0.179495,0.0108599
0.184218,0.0108588
0.188942,0.010857
0.193666,0.0108548
0.198389,0.0108539
0.203113,0.0108519
0.207836,0.0108451
0.21256,0.0108421
0.217283,0.0108393
0.222007,0.0108381
0.22673,0.0108365
0.231454,0.0108314
0.236177,0.0108285
0.240901,0.0108203
0.245625,0.0108191
0.250348,0.0108184
0.255072,0.010817
0.259795,0.0108155
0.264519,0.0108148
0.269242,0.0108135
0.273966,0.0108112
0.278689,0.0108091
0.283413,0.0108075
0.288137,0.0108064
0.29286,0.0108055
0.297584,0.0108026
0.302307,0.0108018
0.307031,0.0107989
0.311754,0.010798
0.316478,0.0107972
0.321201,0.0107935
0.325925,0.0107919
0.330648,0.0107895
0.335372,0.0107846
0.340096,0.0107835
0.344819,0.0107827
0.349543,0.0107815
0.354266,0.0107804
0.35899,0.0107719
0.363713,0.0107712
0.368437,0.01077
0.37316,0.0107675
0.377884,0.0107638
0.382607,0.010763
0.387331,0.010762
0.392055,0.0107582
0.396778,0.0107544
0.401502,0.0107517
0.406225,0.0107502
0.410949,0.0107477
0.415672,0.0107459
0.420396,0.0107451
0.425119,0.0107406
0.429843,0.0107394
0.434567,0.0107381
0.43929,0.0107372
0.444014,0.0107359
0.448737,0.0107347
0.453461,0.0107327
0.458184,0.0107306
0.462908,0.01073
0.467631,0.0107255
0.472355,0.010724
0.477078,0.0107234
0.481802,0.010721
0.486526,0.0107202
0.491249,0.0107194
0.495973,0.0107186
0.500696,0.0107168
0.50542,0.0107157
0.510143,0.0107149
0.514867,0.0107143
0.51959,0.0107135
0.524314,0.0107117
0.529038,0.010709
0.533761,0.0107082
0.538485,0.0107073
0.543208,0.0107064
0.547932,0.0107045
0.552655,0.0107035
0.557379,0.0107027
0.562102,0.0107005
0.566826,0.0107
0.571549,0.0106975
0.576273,0.0106959
0.580997,0.0106949
0.58572,0.0106933
0.590444,0.0106919
0.595167,0.0106886
0.599891,0.0106874
0.604614,0.0106861
0.609338,0.0106839
0.614061,0.0106829
0.618785,0.0106811
0.623509,0.0106802
0.628232,0.010678
0.632956,0.0106771
0.637679,0.0106762
0.642403,0.0106752
0.647126,0.0106743
0.65185,0.010672
0.656573,0.0106711
0.661297,0.0106696
0.66602,0.0106677
0.670744,0.010667
0.675468,0.0106665
0.680191,0.0106658
0.684915,0.010665
0.689638,0.0106634
0.694362,0.0106603
0.699085,0.0106593
0.703809,0.0106564
0.708532,0.0106544
0.713256,0.0106531
0.717979,0.0106475
0.722703,0.010643
0.727427,0.0106421
0.73215,0.0106405
0.736874,0.0106391
0.741597,0.0106374
0.746321,0.0106363
0.751044,0.0106315
0.755768,0.0106306
0.760491,0.0106299
0.765215,0.010629
0.769939,0.0106283
0.774662,0.0106275
0.779386,0.0106216
0.784109,0.0106205
0.788833,0.0106194
0.793556,0.0106169
0.79828,0.0106158
0.803003,0.0106144
0.807727,0.0106134
0.812451,0.0106125
0.817174,0.0106116
0.821898,0.0106107
0.826621,0.0106097
0.831345,0.0106083
0.836068,0.0106047
0.840792,0.0106037
0.845515,0.010603
0.850239,0.0106008
0.854962,0.0105997
0.859686,0.0105981
